gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2710194534	396	29.48	3	395	12	416	2.0e-55	210	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family	416
2710194535	334	48.34	2	332	1	314	4.0e-109	388	COG1984	Allophanate hydrolase subunit 2	314
2710194536	239	44.64	6	238	2	222	2.0e-69	255	COG2049	Allophanate hydrolase subunit 1	223
2710194537	396	18.62	1	389	4	391	4.0e-21	96	COG2814	Predicted arabinose efflux permease, MFS family	394
2710194539	287	38.05	163	275	1	113	2.0e-15	76.6	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	117
2710194540	177	27.91	1	172	5	176	9.0e-25	106	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2710194542	306	28.47	7	294	4	292	2.0e-48	185	COG1131	ABC-type multidrug transport system, ATPase component	293
2710194543	131	38.66	1	118	1	119	2.0e-25	108	COG1725	DNA-binding transcriptional regulator YhcF, GntR family	125
2710194544	261	41.59	5	228	2	227	8.0e-62	230	COG1131	ABC-type multidrug transport system, ATPase component	293
2710194546	271	47.99	6	271	1	265	2.0e-40	159	COG0428	Zinc transporter ZupT	266
2710194550	198	38.04	2	185	3	181	1.0e-39	156	COG3859	Thiamine transporter ThiT	185
2710194551	213	20.59	1	192	3	206	4.0e-12	64.9	COG0586	Uncharacterized membrane protein DedA, SNARE-associated domain	208
2710194552	253	45.93	1	245	7	250	1.0e-53	203	COG2966	Uncharacterized membrane protein YjjP, DUF1212 family	250
2710194553	151	34.75	1	140	4	144	1.0e-23	102	COG3610	Uncharacterized membrane protein YjjB, DUF3815 family	156
2710194555	575	38.39	1	569	1	567	2.0e-122	433	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2710194556	593	41.71	19	591	1	567	0.0e+00	508	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2710194558	140	39.31	1	140	1	142	2.0e-30	125	COG3871	General stress protein 26 (function unknown)	145
2710194559	214	28.65	22	209	32	199	1.0e-19	90.5	COG1573	Uracil-DNA glycosylase	202
2710194561	485	52.37	1	456	4	452	0.0e+00	483	COG1115	Na+/alanine symporter	452
2710194563	386	27.53	7	386	3	388	9.0e-47	181	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	393
2710194564	357	24.8	3	250	2	245	1.0e-30	127	COG4129	Uncharacterized membrane protein YgaE, UPF0421/DUF939 family	332
2710194566	310	33.83	51	310	5	257	5.0e-41	161	COG0584	Glycerophosphoryl diester phosphodiesterase	257
2710194567	349	26.35	68	346	124	453	6.0e-30	125	COG0055	FoF1-type ATP synthase, beta subunit	468
2710194568	436	28.32	90	421	1	336	1.0e-37	151	COG0642	Signal transduction histidine kinase	336
2710194569	199	36.6	4	197	9	199	2.0e-25	109	COG2364	Uncharacterized membrane protein YczE	210
2710194570	756	22.48	185	754	11	636	7.0e-61	229	COG1199	Rad3-related DNA helicase	654
2710194571	145	26.67	8	141	6	140	3.0e-09	54.5	COG2193	Bacterioferritin (cytochrome b1)	157
2710194576	447	55.88	1	441	2	430	5.0e-117	414	COG0733	Na+-dependent transporter, SNF family	439
2710194577	431	28.27	61	426	4	378	1.0e-44	174	COG0665	Glycine/D-amino acid oxidase (deaminating)	387
2710194578	518	40.12	1	512	1	511	0.0e+00	516	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2710194579	227	33.81	3	212	13	219	3.0e-34	138	COG1802	DNA-binding transcriptional regulator, GntR family	230
2710194580	281	34.64	1	278	9	286	4.0e-41	161	COG1284	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains	289
2710194581	151	31.3	22	136	4	118	2.0e-12	65.3	COG1846	DNA-binding transcriptional regulator, MarR family	126
2710194582	532	18.59	11	361	13	394	6.0e-14	72.9	COG2814	Predicted arabinose efflux permease, MFS family	394
2710194583	441	54.99	5	435	14	435	0.0e+00	499	COG1541	Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	438
2710194584	322	38.01	25	295	2	264	3.0e-74	272	COG3396	1,2-phenylacetyl-CoA epoxidase, catalytic subunit	265
2710194585	118	41.82	4	113	5	113	1.0e-28	118	COG3460	1,2-phenylacetyl-CoA epoxidase, PaaB subunit	117
2710194586	272	33.33	11	272	13	265	9.0e-44	170	COG3396	1,2-phenylacetyl-CoA epoxidase, catalytic subunit	265
2710194587	159	39.18	1	95	13	108	7.0e-16	76.9	COG2151	Metal-sulfur cluster biosynthetic enzyme	111
2710194589	259	45.95	2	256	1	257	3.0e-64	238	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2710194590	257	40.08	1	254	3	257	4.0e-57	214	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2710194591	505	45.44	19	498	1	472	0.0e+00	529	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	472
2710194592	291	48.29	1	290	2	292	6.0e-92	330	COG1250	3-hydroxyacyl-CoA dehydrogenase	307
2710194593	401	43.07	1	399	1	392	5.0e-97	348	COG0183	Acetyl-CoA acetyltransferase	392
2710194595	291	44.1	2	289	6	286	2.0e-87	315	COG3327	DNA-binding transcriptional regulator PaaX (phenylacetic acid degradation)	291
2710194596	318	37.35	1	312	4	333	9.0e-67	247	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	336
2710194597	335	45.34	4	324	1	312	1.0e-76	280	COG2984	ABC-type uncharacterized transport system, periplasmic component	322
2710194598	342	48.55	4	314	5	293	4.0e-75	275	COG4120	ABC-type uncharacterized transport system, permease component	293
2710194599	266	57.41	3	265	1	262	5.0e-88	317	COG1101	ABC-type uncharacterized transport system, ATPase component	263
2710194600	131	26.4	5	128	1	123	3.0e-14	71.1	COG5496	Predicted thioesterase	130
2710194601	389	31.55	28	367	35	401	5.0e-80	291	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	411
2710194602	354	45.4	5	349	1	358	2.0e-106	379	COG1071	TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha	358
2710194603	331	56.17	9	331	1	324	3.0e-130	458	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	324
2710194604	392	39.8	1	390	3	404	9.0e-90	324	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	404
2710194605	475	39.56	7	455	2	453	8.0e-104	371	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2710194606	371	35.59	21	369	23	357	1.0e-70	260	COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	363
2710194607	369	39.29	8	367	3	356	9.0e-90	323	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	356
2710194608	203	31.11	11	190	5	170	5.0e-31	127	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	176
2710194609	321	39.42	67	306	47	266	3.0e-48	185	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	266
2710194610	381	22.36	2	380	13	418	4.0e-55	208	COG3508	Homogentisate 1,2-dioxygenase	427
2710194611	299	40.7	3	284	1	280	7.0e-65	241	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2710194612	555	57.65	2	554	12	572	0.0e+00	762	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	575
2710194613	573	53.99	19	568	3	549	0.0e+00	676	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	550
2710194614	174	56.17	1	162	2	162	1.0e-46	179	COG0440	Acetolactate synthase, small subunit	163
2710194615	343	65.18	1	335	2	337	0.0e+00	536	COG0059	Ketol-acid reductoisomerase	338
2710194616	516	50	2	413	1	408	2.0e-124	439	COG0119	Isopropylmalate/homocitrate/citramalate synthases	409
2710194617	370	54.97	1	357	2	346	4.0e-126	444	COG0473	Isocitrate/isopropylmalate dehydrogenase	348
2710194618	471	53.85	2	465	1	422	0.0e+00	604	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	423
2710194619	201	50.54	10	193	11	185	7.0e-64	237	COG0066	3-isopropylmalate dehydratase small subunit	191
2710194620	327	49.36	4	311	10	321	1.0e-100	359	COG1171	Threonine dehydratase	347
2710194621	432	46.25	1	324	1	333	5.0e-104	371	COG0460	Homoserine dehydrogenase	333
2710194622	353	47.31	1	345	49	398	5.0e-98	351	COG0498	Threonine synthase	411
2710194623	311	37.31	6	272	1	266	6.0e-69	254	COG0083	Homoserine kinase	299
2710194625	438	24.29	197	435	94	335	4.0e-34	139	COG0642	Signal transduction histidine kinase	336
2710194626	377	35.56	1	365	28	401	4.0e-84	305	COG0513	Superfamily II DNA and RNA helicase	513
2710194627	535	37.22	1	535	3	534	6.0e-111	395	COG1574	Predicted amidohydrolase YtcJ	535
2710194628	181	33.7	6	181	2	182	1.0e-25	109	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2710194630	749	32.7	54	700	2	655	2.0e-106	380	COG0210	Superfamily I DNA or RNA helicase	655
2710194632	207	36.62	1	204	4	215	8.0e-40	156	COG1878	Kynurenine formamidase	218
2710194633	425	35.65	1	416	1	407	2.0e-100	359	COG3844	Kynureninase	407
2710194634	459	42.92	12	458	120	559	4.0e-112	398	COG3829	Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains	560
2710194635	461	42.89	20	455	4	427	3.0e-81	296	COG3314	Uncharacterized membrane protein YjiH, contains nucleoside recognition GATE domain	427
2710194636	440	48.05	1	432	14	447	0.0e+00	474	COG0160	4-aminobutyrate aminotransferase or related aminotransferase	447
2710194637	283	40.22	8	283	6	281	2.0e-66	246	COG1737	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains	281
2710194638	447	49.32	5	446	2	442	3.0e-95	342	COG2610	H+/gluconate symporter or related permease	442
2710194639	507	38.31	1	501	2	502	7.0e-121	427	COG1070	Sugar (pentulose or hexulose) kinase	502
2710194640	239	51.46	4	239	6	241	2.0e-82	298	COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	241
2710194646	508	39.92	1	491	1	489	4.0e-99	355	COG1292	Choline-glycine betaine transporter	537
2710194650	285	19.69	2	194	11	201	7.0e-11	61.6	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2710194651	1048	28.29	3	1034	1	1009	0.0e+00	707	COG0841	Multidrug efflux pump subunit AcrB	1009
2710194652	341	39.82	2	336	1	333	1.0e-83	303	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	333
2710194653	437	20.61	1	429	1	430	9.0e-18	85.1	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	433
2710194654	299	39.86	1	295	5	294	3.0e-51	195	COG1175	ABC-type sugar transport system, permease component	295
2710194655	305	38.35	31	304	4	281	1.0e-50	193	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	281
2710194656	455	39.29	1	438	2	451	8.0e-121	427	COG2723	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	460
2710194657	442	25.05	1	442	1	429	8.0e-59	221	COG5520	O-Glycosyl hydrolase	433
2710194658	438	21.41	1	422	5	409	2.0e-12	67.4	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	480
2710194659	630	23.97	1	396	3	408	3.0e-48	186	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	429
2710194662	595	28.79	8	595	9	597	2.0e-111	396	COG1164	Oligoendopeptidase F	598
2710194664	217	26.78	2	184	1	179	1.0e-11	63.4	COG1842	Phage shock protein A	225
2710194665	243	28.09	10	242	10	234	7.0e-31	127	COG4758	Predicted membrane protein	235
2710194666	349	26.19	8	340	35	365	5.0e-46	178	COG4585	Signal transduction histidine kinase	365
2710194667	210	45.67	2	208	1	208	2.0e-57	215	COG2197	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	211
2710194671	309	43.89	1	309	11	329	3.0e-68	252	COG0714	MoxR-like ATPase	329
2710194672	452	21.55	23	448	7	416	1.0e-44	174	COG1721	Uncharacterized conserved protein, DUF58 family, contains vWF domain	416
2710194673	318	40.64	101	284	10	196	2.0e-34	139	COG1300	Uncharacterized membrane protein SpoIIM, required for sporulation	207
2710194674	267	27.65	10	178	7	166	3.0e-15	75.9	COG1714	Uncharacterized membrane protein YckC, RDD family	172
2710194675	652	18.14	234	647	73	409	3.0e-17	84.2	COG1502	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	438
2710194680	482	41.63	4	479	1	472	0.0e+00	508	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	472
2710194681	340	57.69	1	337	4	340	0.0e+00	460	COG2130	NADPH-dependent curcumin reductase CurA	340
2710194682	303	24	6	268	3	268	4.0e-21	95.9	COG3173	Predicted  kinase, aminoglycoside phosphotransferase (APT) family	321
2710194683	166	32.08	1	159	2	153	2.0e-23	101	COG1225	Peroxiredoxin	157
2710194685	240	28.06	4	199	1	187	4.0e-28	118	COG0212	5-formyltetrahydrofolate cyclo-ligase	191
2710194686	185	31.31	1	182	1	196	6.0e-38	150	COG0288	Carbonic anhydrase	207
2710194688	216	22.65	4	179	18	198	2.0e-16	79.2	COG5012	Methanogenic corrinoid protein MtbC1	227
2710194689	165	59.73	4	152	1	149	1.0e-56	212	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily	149
2710194690	282	35.69	1	281	9	288	3.0e-45	175	COG1284	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains	289
2710194694	624	38.94	1	541	1	529	0.0e+00	482	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2710194695	320	27.46	6	317	4	328	2.0e-40	160	COG3380	Predicted NAD/FAD-dependent oxidoreductase	331
2710194696	172	19.61	7	149	1	153	1.0e-05	43.1	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2710194697	359	62.32	7	359	10	350	0.0e+00	491	COG4362	Nitric oxide synthase, oxygenase domain	355
2710194699	212	25.58	1	211	6	199	1.0e-08	53.1	COG3764	Sortase (surface protein transpeptidase)	210
2710194702	187	25.97	7	185	2	181	9.0e-28	116	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2710194703	334	62.09	4	334	6	339	5.0e-120	424	COG1077	Actin-like ATPase involved in cell morphogenesis	342
2710194704	552	25.35	112	537	3	407	5.0e-31	129	COG0840	Methyl-accepting chemotaxis protein	408
2710194705	325	42.38	7	325	11	337	5.0e-67	248	COG1744	Basic membrane lipoprotein Med, periplasmic binding protein (PBP1-ABC) superfamily	345
2710194706	161	49.32	3	147	11	156	7.0e-41	159	COG1607	Acyl-CoA hydrolase	157
2710194707	397	48.76	2	397	2	403	6.0e-99	354	COG1972	Nucleoside permease NupC	404
2710194708	608	47.62	6	529	2	519	0.0e+00	516	COG4146	Uncharacterized membrane permease YidK, sodium:solute symporter family	571
2710194710	429	17.26	20	427	27	497	2.0e-12	67.2	COG3104	Dipeptide/tripeptide permease	498
2710194712	410	48.28	7	409	3	385	3.0e-117	415	COG2309	Leucyl aminopeptidase (aminopeptidase T)	385
2710194714	152	44.03	1	134	1	133	1.0e-34	138	COG1959	DNA-binding transcriptional regulator, IscR family	150
2710194715	402	63.33	1	150	1	150	6.0e-61	228	COG1017	Hemoglobin-like flavoprotein	150
2710194719	493	26.25	143	478	69	404	8.0e-29	122	COG0840	Methyl-accepting chemotaxis protein	408
2710194720	263	45.42	1	251	1	251	1.0e-73	269	COG1291	Flagellar motor component MotA	266
2710194721	263	36.96	4	260	3	243	3.0e-53	202	COG1360	Flagellar motor protein MotB	244
2710194722	463	47.46	1	451	1	451	3.0e-129	455	COG1115	Na+/alanine symporter	452
2710194723	364	25.16	60	364	2	311	2.0e-35	143	COG0524	Sugar or nucleoside kinase, ribokinase family	311
2710194724	311	64.14	2	305	6	309	1.0e-116	412	COG2313	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)	310
2710194725	810	28.51	571	809	85	332	2.0e-38	154	COG0642	Signal transduction histidine kinase	336
2710194726	438	22.96	1	389	1	385	2.0e-52	200	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2710194728	438	40.79	7	434	6	430	4.0e-120	425	COG3486	Lysine/ornithine N-monooxygenase	436
2710194729	171	44.75	1	169	2	182	3.0e-33	134	COG0693	Putative intracellular protease/amidase	188
2710194730	75	49.3	3	73	1	71	2.0e-13	66.9	COG4840	Uncharacterized protein YfkK, UPF0435 family	71
2710194732	280	33.09	7	275	13	287	2.0e-46	179	COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	303
2710194733	579	42.61	2	574	4	549	0.0e+00	537	COG3275	Sensor histidine kinase, LytS/YehU family	557
2710194734	237	39.51	1	237	2	243	1.0e-48	186	COG3279	DNA-binding response regulator, LytR/AlgR family	244
2710194736	482	32.84	4	458	7	545	3.0e-89	322	COG1966	Carbon starvation protein CstA	575
2710194740	407	19.7	60	391	68	389	7.0e-04	39	COG2814	Predicted arabinose efflux permease, MFS family	394
2710194742	476	30.95	1	453	3	466	5.0e-112	398	COG0442	Prolyl-tRNA synthetase	500
2710194744	185	25.97	6	185	3	181	1.0e-18	86.2	COG1670	Protein N-acetyltransferase, RimJ/RimL family	187
2710194746	341	35.96	3	340	3	333	1.0e-70	260	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	333
2710194748	526	29.63	4	514	8	485	7.0e-111	394	COG0069	Glutamate synthase domain 2	485
2710194749	573	38.52	6	548	4	550	0.0e+00	510	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	550
2710194750	265	26.04	1	261	10	255	1.0e-25	110	COG3568	Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family	259
2710194751	544	26.18	2	457	1	392	2.0e-52	200	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	393
2710194752	638	39.06	21	638	80	709	0.0e+00	610	COG2217	Cation transport ATPase	713
2710194753	394	20.11	26	389	35	393	1.0e-10	61	COG2814	Predicted arabinose efflux permease, MFS family	394
2710194754	127	28.12	7	127	11	137	4.0e-18	83.9	COG1765	Uncharacterized OsmC-related protein	137
2710194755	137	31.62	1	132	2	134	3.0e-20	91.1	COG3871	General stress protein 26 (function unknown)	145
2710194756	376	39.49	31	376	16	367	4.0e-78	285	COG0387	Ca2+/H+ antiporter	368
2710194761	375	19.62	34	293	21	270	2.0e-11	63.5	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	347
2710194764	518	38.01	1	288	5	283	2.0e-69	257	COG1951	Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain	297
2710194766	258	30	21	254	18	256	7.0e-37	147	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	267
2710194767	289	32.98	6	287	1	272	5.0e-52	197	COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	285
2710194768	466	46.05	19	459	2	432	0.0e+00	466	COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	432
2710194769	373	36.14	3	365	1	363	1.0e-90	327	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	363
2710194770	64	47.62	2	64	2	64	8.0e-16	75.2	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	68
2710194772	257	26.69	1	254	8	252	2.0e-34	139	COG0861	Membrane protein TerC, possibly involved in tellurium resistance	254
2710194773	554	30.67	15	512	2	530	4.0e-102	365	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
2710194780	308	39.67	6	303	4	293	2.0e-70	259	COG1131	ABC-type multidrug transport system, ATPase component	293
2710194781	363	23.88	163	362	81	281	3.0e-16	79.6	COG0842	ABC-type multidrug transport system, permease component	286
2710194783	230	25.32	2	228	8	239	2.0e-27	115	COG2186	DNA-binding transcriptional regulator, FadR family	241
2710194784	150	30.19	36	141	21	126	4.0e-10	57.6	COG1846	DNA-binding transcriptional regulator, MarR family	126
2710194785	802	29.96	1	533	7	545	3.0e-72	267	COG2409	Uncharacterized membrane protein YdfJ, MMPL/SSD domain	937
2710194786	499	35.58	5	475	1	429	3.0e-108	385	COG0579	L-2-hydroxyglutarate oxidase LhgO	429
2710194791	399	37.18	44	395	1	340	3.0e-74	272	COG1472	Periplasmic beta-glucosidase and related glycosidases	397
2710194792	230	42.98	1	228	1	228	8.0e-56	210	COG1346	Putative effector of murein hydrolase	230
2710194793	127	42.28	1	123	2	124	2.0e-21	94.8	COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family	128
2710194794	143	40	34	137	20	124	1.0e-07	49.2	COG1846	DNA-binding transcriptional regulator, MarR family	126
2710194795	201	27.49	1	171	4	174	2.0e-12	65.8	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2710194796	424	17.11	22	395	30	379	2.0e-03	37.5	COG2814	Predicted arabinose efflux permease, MFS family	394
2710194799	443	41.53	2	439	1	442	1.0e-110	393	COG3182	Uncharacterized iron-regulated membrane protein	442
2710194801	131	38.28	1	128	7	127	2.0e-21	95	COG3324	Predicted enzyme related to lactoylglutathione lyase	127
2710194803	225	20.31	3	168	3	190	5.0e-07	47.9	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2710194804	310	34.62	1	308	2	309	2.0e-63	236	COG1957	Inosine-uridine nucleoside N-ribohydrolase	311
2710194805	317	28.98	1	313	10	309	3.0e-44	172	COG2378	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains	311
2710194806	293	32.05	19	271	2	246	6.0e-30	124	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2710194807	235	21.56	9	223	4	221	2.0e-17	83	COG5522	Uncharacterized membrane protein YwaF	236
2710194809	153	22.15	2	143	9	150	9.0e-08	49.6	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	177
2710194810	580	39.55	4	577	3	566	0.0e+00	474	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2710194811	199	24.88	8	194	26	230	1.0e-23	102	COG0412	Dienelactone hydrolase	236
2710194812	460	24.19	146	345	75	258	4.0e-08	53	COG1240	Mg-chelatase subunit ChlD	261
2710194814	108	54.63	1	108	1	108	4.0e-30	123	COG1742	Uncharacterized inner membrane protein YnfA, drug/metabolite transporter superfamily	109
2710194816	122	31.52	11	102	14	100	5.0e-11	60	COG3339	Uncharacterized membrane protein YkvA, DUF1232 family	116
2710194822	204	23.72	1	204	3	217	2.0e-30	125	COG0546	Phosphoglycolate phosphatase, HAD superfamily	220
2710194824	213	29.67	1	199	1	199	1.0e-15	76.9	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	275
2710194829	150	21.55	16	125	9	119	8.0e-05	40	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family	145
