gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2710194492	511	100	1	511	1	511	0.0e+00	1140	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:3.5.4.10	
2710194493	424	100	1	424	1	424	0.0e+00	952	KO:K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	EC:6.3.4.13	
2710194495	579	100	1	579	1	579	0.0e+00	1360	KO:K01486	adenine deaminase [EC:3.5.4.2]	EC:3.5.4.2	
2710194498	228	100	1	228	1	228	0.0e+00	525	KO:K07094	heptaprenylglyceryl phosphate synthase [EC:2.5.1.-]	EC:2.5.1.-	
2710194499	741	100	1	741	1	741	0.0e+00	1660	KO:K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	EC:5.6.2.4	
2710194500	668	100	1	668	1	668	0.0e+00	1500	KO:K01972	DNA ligase (NAD+) [EC:6.5.1.2]	EC:6.5.1.2	
2710194503	529	100	1	529	1	529	0.0e+00	1220	KO:K01638	malate synthase [EC:2.3.3.9]	EC:2.3.3.9	
2710194504	426	100	1	426	1	426	0.0e+00	977	KO:K01637	isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]	EC:4.1.3.1	
2710194504	426	100	1	426	1	426	0.0e+00	977	KO:K01637	isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]	EC:4.1.3.30	
2710194505	344	100	1	344	1	344	0.0e+00	793	KO:K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	EC:1.2.1.38	
2710194506	409	100	1	409	1	409	0.0e+00	948	KO:K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	EC:2.3.1.1	
2710194506	409	100	1	409	1	409	0.0e+00	948	KO:K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	EC:2.3.1.35	
2710194507	269	54.31	1	266	1	267	6.6e-96	330	KO:K00930	acetylglutamate kinase [EC:2.7.2.8]	EC:2.7.2.8	
2710194508	386	100	1	386	1	386	0.0e+00	876	KO:K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	EC:2.6.1.11	
2710194508	386	100	1	386	1	386	0.0e+00	876	KO:K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	EC:2.6.1.17	
2710194509	354	100	1	354	1	354	0.0e+00	821	KO:K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	EC:6.3.5.5	
2710194510	1022	100	1	1022	1	1022	0.0e+00	2290	KO:K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	EC:6.3.5.5	
2710194511	317	100	1	317	1	317	0.0e+00	724	KO:K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	EC:2.1.3.3	
2710194513	354	68.56	1	353	1	352	0.0e+00	562	KO:K07120	uncharacterized protein		
2710194516	96	100	1	96	1	96	2.1e-61	214	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	
2710194516	96	100	1	96	1	96	2.1e-61	214	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	
2710194517	486	100	1	486	1	486	0.0e+00	1100	KO:K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	
2710194517	486	100	1	486	1	486	0.0e+00	1100	KO:K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	
2710194518	476	100	1	476	1	476	0.0e+00	1090	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	
2710194518	476	100	1	476	1	476	0.0e+00	1090	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	
2710194519	556	100	1	556	1	556	0.0e+00	1280	KO:K01400	bacillolysin [EC:3.4.24.28]	EC:3.4.24.28	
2710194527	304	100	1	304	1	304	0.0e+00	682	KO:K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]	EC:2.7.1.107	
2710194531	458	100	1	458	1	458	0.0e+00	1070	KO:K03215	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	EC:2.1.1.190	
2710194535	334	100	1	334	1	334	0.0e+00	756	KO:K06350	antagonist of KipI		
2710194536	239	100	1	239	1	239	0.0e+00	558	KO:K06351	inhibitor of KinA		
2710194539	287	100	1	287	1	287	0.0e+00	640	KO:K17763	rsbT co-antagonist protein RsbR		
2710194541	654	94.34	1	654	1	654	0.0e+00	1420	KO:K16919	acetoin utilization transport system permease protein		
2710194542	306	100	1	306	1	306	0.0e+00	688	KO:K16921	acetoin utilization transport system ATP-binding protein		
2710194543	131	100	1	131	1	131	2.5e-86	289	KO:K07979	GntR family transcriptional regulator		
2710194544	261	100	1	261	1	261	0.0e+00	581	KO:K01990	ABC-2 type transport system ATP-binding protein		
2710194545	540	97.59	1	540	1	540	0.0e+00	1200	KO:K01992	ABC-2 type transport system permease protein		
2710194546	271	100	1	271	1	271	0.0e+00	603	KO:K07238	zinc transporter, ZIP family		
2710194550	198	94.95	1	198	1	198	5.5e-129	417	KO:K16789	thiamine transporter		
2710194555	575	100	1	575	1	575	0.0e+00	1260	KO:K18887	ATP-binding cassette, subfamily B, multidrug efflux pump		
2710194556	593	100	1	593	1	593	0.0e+00	1320	KO:K18888	ATP-binding cassette, subfamily B, multidrug efflux pump		
2710194559	214	100	1	214	1	214	0.0e+00	504	KO:K21929	uracil-DNA glycosylase [EC:3.2.2.27]	EC:3.2.2.27	
2710194560	87	100	1	87	1	87	9.6e-55	194	KO:K06421	small acid-soluble spore protein D (minor alpha/beta-type SASP)		
2710194561	485	100	1	485	1	485	0.0e+00	1080	KO:K03310	alanine or glycine:cation symporter, AGCS family		
2710194566	310	99.68	1	310	1	310	0.0e+00	704	KO:K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	EC:3.1.4.46	
2710194567	349	100	1	349	1	349	0.0e+00	787	KO:K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	EC:7.1.2.2	
2710194567	349	100	1	349	1	349	0.0e+00	787	KO:K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	EC:7.2.2.1	
2710194568	436	100	1	436	1	436	0.0e+00	968	KO:K07697	two-component system, sporulation sensor kinase B [EC:2.7.13.3]	EC:2.7.13.3	
2710194569	199	100	1	199	1	199	0.0e+00	449	KO:K07149	uncharacterized protein		
2710194570	756	100	1	756	1	756	0.0e+00	1720	KO:K10844	DNA excision repair protein ERCC-2 [EC:5.6.2.3]	EC:5.6.2.3	
2710194571	145	100	1	145	1	145	8.7e-100	329	KO:K03594	bacterioferritin [EC:1.16.3.1]	EC:1.16.3.1	
2710194574	320	100	1	320	1	320	0.0e+00	736	KO:K13275	major intracellular serine protease [EC:3.4.21.-]	EC:3.4.21.-	
2710194575	173	100	1	173	1	173	0.0e+00	430	KO:K04565	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]	EC:1.15.1.1	
2710194576	447	100	1	447	1	447	0.0e+00	984	KO:K03308	neurotransmitter:Na+ symporter, NSS family		
2710194583	441	100	1	441	1	441	0.0e+00	1010	KO:K01912	phenylacetate-CoA ligase [EC:6.2.1.30]	EC:6.2.1.30	
2710194584	322	100	1	322	1	322	0.0e+00	758	KO:K02609	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]	EC:1.14.13.149	
2710194585	118	100	1	118	1	118	8.5e-83	277	KO:K02610	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB		
2710194586	272	100	1	272	1	272	0.0e+00	630	KO:K02611	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]	EC:1.14.13.149	
2710194587	159	100	1	159	1	159	4.0e-117	379	KO:K02612	ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD		
2710194589	259	100	1	259	1	259	0.0e+00	591	KO:K01692	enoyl-CoA hydratase [EC:4.2.1.17]	EC:4.2.1.17	
2710194590	257	100	1	257	1	257	0.0e+00	578	KO:K15866	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]	EC:5.3.3.18	
2710194591	505	99.41	1	505	1	505	0.0e+00	1150	KO:K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	EC:1.2.1.3	
2710194592	291	100	1	291	1	291	0.0e+00	657	KO:K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	EC:1.1.1.157	
2710194595	291	100	1	291	1	291	0.0e+00	684	KO:K02616	phenylacetic acid degradation operon negative regulatory protein		
2710194596	318	100	1	318	1	318	0.0e+00	709	KO:K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	EC:1.3.1.9	
2710194597	335	100	1	335	1	335	0.0e+00	741	KO:K01989	putative tryptophan/tyrosine transport system substrate-binding protein		
2710194598	342	100	1	342	1	342	0.0e+00	743	KO:K05832	putative tryptophan/tyrosine transport system permease protein		
2710194599	266	100	1	266	1	266	0.0e+00	585	KO:K05833	putative tryptophan/tyrosine transport system ATP-binding protein		
2710194600	131	98.2	21	131	1	111	5.0e-72	248	KO:K18700	fluoroacetyl-CoA thioesterase [EC:3.1.2.29]	EC:3.1.2.29	
2710194601	389	100	1	389	1	389	0.0e+00	890	KO:K00270	phenylalanine dehydrogenase [EC:1.4.1.20]	EC:1.4.1.20	
2710194603	331	99.4	1	331	1	331	0.0e+00	750	KO:K00167	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]	EC:1.2.4.4	
2710194605	475	100	1	475	1	475	0.0e+00	1070	KO:K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	EC:1.8.1.4	
2710194606	371	100	1	371	1	371	0.0e+00	848	KO:K00457	4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]	EC:1.13.11.27	
2710194607	369	100	1	369	1	369	0.0e+00	836	KO:K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	EC:2.6.1.9	
2710194610	381	100	1	381	1	381	0.0e+00	916	KO:K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	EC:1.13.11.5	
2710194611	299	100	1	299	1	299	0.0e+00	672	KO:K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	EC:2.6.1.42	
2710194612	555	100	1	555	1	555	0.0e+00	1260	KO:K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]	EC:4.2.1.9	
2710194613	573	100	1	573	1	573	0.0e+00	1320	KO:K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	EC:2.2.1.6	
2710194614	174	100	1	174	1	174	1.3e-115	377	KO:K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]	EC:2.2.1.6	
2710194615	343	100	1	343	1	343	0.0e+00	785	KO:K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	EC:1.1.1.86	
2710194616	516	100	1	516	1	516	0.0e+00	1150	KO:K01649	2-isopropylmalate synthase [EC:2.3.3.13]	EC:2.3.3.13	
2710194617	370	100	1	370	1	370	0.0e+00	831	KO:K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	EC:1.1.1.85	
2710194618	471	100	1	471	1	471	0.0e+00	1090	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	
2710194618	471	100	1	471	1	471	0.0e+00	1090	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	
2710194619	201	100	1	201	1	201	0.0e+00	478	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	
2710194619	201	100	1	201	1	201	0.0e+00	478	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	
2710194620	327	100	1	327	1	327	0.0e+00	729	KO:K01754	threonine dehydratase [EC:4.3.1.19]	EC:4.3.1.19	
2710194621	432	100	1	432	1	432	0.0e+00	972	KO:K00003	homoserine dehydrogenase [EC:1.1.1.3]	EC:1.1.1.3	
2710194622	353	100	1	353	1	353	0.0e+00	788	KO:K01733	threonine synthase [EC:4.2.3.1]	EC:4.2.3.1	
2710194623	311	100	1	311	1	311	0.0e+00	709	KO:K00872	homoserine kinase [EC:2.7.1.39]	EC:2.7.1.39	
2710194630	749	100	1	749	1	749	0.0e+00	1710	KO:K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	EC:5.6.2.4	
2710194632	207	100	1	207	1	207	0.0e+00	487	KO:K07130	arylformamidase [EC:3.5.1.9]	EC:3.5.1.9	
2710194633	425	100	1	425	1	425	0.0e+00	991	KO:K01556	kynureninase [EC:3.7.1.3]	EC:3.7.1.3	
2710194636	440	100	1	440	1	440	0.0e+00	1010	KO:K00823	4-aminobutyrate aminotransferase [EC:2.6.1.19]	EC:2.6.1.19	
2710194637	283	74.19	5	283	6	284	0.0e+00	479	KO:K19337	RpiR family transcriptional regulator, carbohydrate utilization regulator		
2710194638	447	100	1	447	1	447	0.0e+00	973	KO:K06156	Gnt-I system low-affinity gluconate transporter		
2710194639	507	100	1	507	1	507	0.0e+00	1160	KO:K25031	gluconokinase [EC:2.7.1.12]	EC:2.7.1.12	
2710194646	508	100	1	508	1	508	0.0e+00	1150	KO:K05020	glycine betaine transporter		
2710194651	1048	100	1	1048	1	1048	0.0e+00	2280	KO:K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family		
2710194652	341	100	1	341	1	341	0.0e+00	769	KO:K03604	LacI family transcriptional regulator, purine nucleotide synthesis repressor		
2710194653	437	100	1	437	1	437	0.0e+00	1030	KO:K10240	cellobiose transport system substrate-binding protein		
2710194654	299	100	1	299	1	299	0.0e+00	683	KO:K10241	cellobiose transport system permease protein		
2710194655	305	100	1	305	1	305	0.0e+00	675	KO:K10242	cellobiose transport system permease protein		
2710194656	455	100	1	455	1	455	0.0e+00	1110	KO:K05350	beta-glucosidase [EC:3.2.1.21]	EC:3.2.1.21	
2710194657	442	100	1	442	1	442	0.0e+00	1050	KO:K01201	glucosylceramidase [EC:3.2.1.45]	EC:3.2.1.45	
2710194663	114	100	1	114	1	114	7.4e-75	254	KO:K11619	lia operon protein LiaI		
2710194664	217	99.08	1	217	1	217	0.0e+00	484	KO:K11620	lia operon protein LiaH		
2710194665	243	100	1	243	1	243	0.0e+00	553	KO:K11622	lia operon protein LiaF		
2710194666	349	100	1	349	1	349	0.0e+00	771	KO:K11617	two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]	EC:2.7.13.3	
2710194667	210	100	1	210	1	210	0.0e+00	462	KO:K11618	two-component system, NarL family, response regulator LiaR		
2710194671	309	100	1	309	1	309	0.0e+00	684	KO:K03924	MoxR-like ATPase [EC:3.6.3.-]	EC:3.6.3.-	
2710194680	482	100	1	482	1	482	0.0e+00	1100	KO:K07248	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]	EC:1.2.1.21	
2710194680	482	100	1	482	1	482	0.0e+00	1100	KO:K07248	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]	EC:1.2.1.22	
2710194681	340	100	1	340	1	340	0.0e+00	772	KO:K00359	NADPH:quinone reductase [EC:1.6.5.5]	EC:1.6.5.5	
2710194685	240	100	1	240	1	240	0.0e+00	555	KO:K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	EC:6.3.3.2	
2710194686	185	100	1	185	1	185	0.0e+00	423	KO:K01673	carbonic anhydrase [EC:4.2.1.1]	EC:4.2.1.1	
2710194688	216	100	1	216	1	216	0.0e+00	493	KO:K22491	MerR family transcriptional regulator, light-induced transcriptional regulator		
2710194689	165	100	1	165	1	165	1.1e-126	407	KO:K09457	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	EC:1.7.1.13	
2710194695	320	98.44	1	320	1	320	0.0e+00	717	KO:K18208	renalase [EC:1.6.3.5]	EC:1.6.3.5	
2710194697	359	100	1	359	1	359	0.0e+00	861	KO:K00491	nitric-oxide synthase, bacterial [EC:1.14.14.47]	EC:1.14.14.47	
2710194702	187	100	1	187	1	187	0.0e+00	434	KO:K03088	RNA polymerase sigma-70 factor, ECF subfamily		
2710194703	334	100	1	334	1	334	0.0e+00	733	KO:K03569	rod shape-determining protein MreB and related proteins		
2710194705	325	100	1	325	1	325	0.0e+00	723	KO:K07335	basic membrane protein A and related proteins		
2710194707	397	100	1	397	1	397	0.0e+00	851	KO:K03317	concentrative nucleoside transporter, CNT family		
2710194708	608	100	1	608	1	608	0.0e+00	1380	KO:K03307	solute:Na+ symporter, SSS family		
2710194710	429	100	1	429	1	429	0.0e+00	962	KO:K08152	MFS transporter, DHA1 family, multidrug resistance protein B		
2710194712	410	100	1	410	1	410	0.0e+00	948	KO:K19689	aminopeptidase [EC:3.4.11.-]	EC:3.4.11.-	
2710194714	152	100	1	152	1	152	4.8e-106	347	KO:K13771	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor		
2710194715	402	100	1	402	1	402	0.0e+00	920	KO:K05916	nitric oxide dioxygenase [EC:1.14.12.17]	EC:1.14.12.17	
2710194719	493	100	1	493	1	493	0.0e+00	1060	KO:K03406	methyl-accepting chemotaxis protein		
2710194720	263	100	1	263	1	263	0.0e+00	574	KO:K02556	chemotaxis protein MotA		
2710194721	263	100	1	263	1	263	0.0e+00	592	KO:K02557	chemotaxis protein MotB		
2710194722	463	100	1	463	1	463	0.0e+00	1030	KO:K03310	alanine or glycine:cation symporter, AGCS family		
2710194724	311	100	1	311	1	311	0.0e+00	687	KO:K16329	pseudouridylate synthase [EC:4.2.1.70]	EC:4.2.1.70	
2710194725	810	100	1	810	1	810	0.0e+00	1830	KO:K02491	two-component system, sporulation sensor kinase A [EC:2.7.13.3]	EC:2.7.13.3	
2710194728	438	100	1	438	1	438	0.0e+00	1040	KO:K27501	putrescine N-hydroxylase [EC:1.14.13.252]	EC:1.14.13.252	
2710194729	171	100	1	171	1	171	1.5e-120	390	KO:K05520	deglycase [EC:3.5.1.124]	EC:3.5.1.124	
2710194732	280	100	1	280	1	280	0.0e+00	629	KO:K07058	membrane protein		
2710194733	579	100	1	579	1	579	0.0e+00	1290	KO:K07704	two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]	EC:2.7.13.3	
2710194734	237	100	1	237	1	237	0.0e+00	541	KO:K07705	two-component system, LytTR family, response regulator LytT		
2710194742	476	100	1	476	1	476	0.0e+00	1120	KO:K01881	prolyl-tRNA synthetase [EC:6.1.1.15]	EC:6.1.1.15	
2710194744	185	100	1	185	1	185	0.0e+00	450	KO:K03790	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	EC:2.3.1.267	
2710194746	341	51.48	1	336	1	338	3.6e-119	403	KO:K02529	LacI family transcriptional regulator, galactose operon repressor		
2710194749	573	100	1	573	1	573	0.0e+00	1320	KO:K00158	pyruvate oxidase [EC:1.2.3.3]	EC:1.2.3.3	
2710194750	265	100	1	265	1	265	0.0e+00	619	KO:K06896	maltose 6'-phosphate phosphatase [EC:3.1.3.90]	EC:3.1.3.90	
2710194751	544	100	1	544	1	544	0.0e+00	1220	KO:K20108	maltose PTS system EIICB or EIICBA component [EC:2.7.1.208]	EC:2.7.1.208	
2710194752	638	100	1	638	1	638	0.0e+00	1400	KO:K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	EC:7.2.2.12	
2710194752	638	100	1	638	1	638	0.0e+00	1400	KO:K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	EC:7.2.2.21	
2710194754	127	100	1	127	1	127	7.3e-86	287	KO:K07397	putative redox protein		
2710194756	376	100	1	376	1	376	0.0e+00	824	KO:K07300	Ca2+:H+ antiporter		
2710194764	518	100	1	518	1	518	0.0e+00	1200	KO:K01676	fumarate hydratase, class I [EC:4.2.1.2]	EC:4.2.1.2	
2710194766	258	100	1	258	1	258	0.0e+00	601	KO:K01567	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	EC:3.5.1.-	
2710194767	289	100	1	289	1	289	0.0e+00	672	KO:K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	EC:3.2.2.21	
2710194768	466	100	1	466	1	466	0.0e+00	1070	KO:K03215	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	EC:2.1.1.190	
2710194770	64	100	1	64	1	64	6.9e-38	144	KO:K07729	putative transcriptional regulator		
2710194773	554	100	1	554	1	554	0.0e+00	1260	KO:K18231	macrolide transport system ATP-binding/permease protein		
2710194780	308	100	1	308	1	308	0.0e+00	691	KO:K01990	ABC-2 type transport system ATP-binding protein		
2710194781	363	100	1	363	1	363	0.0e+00	810	KO:K01992	ABC-2 type transport system permease protein		
2710194783	230	100	1	230	1	230	0.0e+00	526	KO:K03603	GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA		
2710194785	802	100	1	802	1	802	0.0e+00	1760	KO:K06994	putative drug exporter of the RND superfamily		
2710194786	499	100	1	499	1	499	0.0e+00	1150	KO:K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	EC:1.1.5.4	
2710194791	399	99	1	399	1	399	0.0e+00	884	KO:K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]	EC:3.2.1.52	
2710194793	127	100	1	127	1	127	3.9e-82	276	KO:K06518	holin-like protein		
2710194796	424	100	1	424	1	424	0.0e+00	944	KO:K08152	MFS transporter, DHA1 family, multidrug resistance protein B		
2710194800	189	64.36	1	188	1	188	3.3e-86	295	KO:K21601	DeoR family transcriptional regulator, copper-sensing transcriptional repressor		
2710194801	131	100	1	131	1	131	2.1e-99	326	KO:K06996	uncharacterized protein		
2710194804	310	100	1	310	1	310	0.0e+00	701	KO:K01239	purine nucleosidase [EC:3.2.2.1]	EC:3.2.2.1	
2710194810	580	100	1	580	1	580	0.0e+00	1290	KO:K06147	ATP-binding cassette, subfamily B, bacterial		
2710194812	460	86.52	1	460	1	460	0.0e+00	919	KO:K07114	Ca-activated chloride channel homolog		
2710194814	108	100	1	108	1	108	5.8e-77	260	KO:K09771	small multidrug resistance family-3 protein		
2710194829	150	48.32	2	150	1	149	2.0e-48	183	KO:K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	EC:3.6.1.55	
2710194834	147	100	1	147	1	147	4.0e-110	358	KO:K01449	cell wall hydrolase		
2710194836	590	94.74	1	589	1	589	0.0e+00	1300	KO:K08602	oligoendopeptidase F [EC:3.4.24.-]	EC:3.4.24.-	
2710194839	237	47.47	18	232	17	233	6.6e-66	241	KO:K06889	uncharacterized protein		
2710194846	312	52.09	5	312	9	319	1.1e-116	393	KO:K03088	RNA polymerase sigma-70 factor, ECF subfamily		
2710194852	215	100	1	215	1	215	0.0e+00	502	KO:K00876	uridine kinase [EC:2.7.1.48]	EC:2.7.1.48	
2710194854	140	100	1	140	1	140	4.8e-99	326	KO:K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	EC:3.6.1.55	
2710194862	197	100	1	197	1	197	0.0e+00	455	KO:K01519	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	EC:3.6.1.66	
2710194874	260	99.62	1	260	1	260	0.0e+00	604	KO:K17838	beta-lactamase class D [EC:3.5.2.6]	EC:3.5.2.6	
2710194881	397	100	1	397	1	397	0.0e+00	890	KO:K08224	MFS transporter, YNFM family, putative membrane transport protein		
2710194882	92	100	1	92	1	92	1.2e-62	217	KO:K06884	uncharacterized protein		
2710194883	98	100	1	98	1	98	6.3e-67	230	KO:K06884	uncharacterized protein		
2710194887	651	100	1	651	1	651	0.0e+00	1530	KO:K02827	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]	EC:7.1.1.5	
2710194888	329	97.57	1	329	1	329	0.0e+00	755	KO:K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]	EC:7.1.1.9	
2710194890	257	95.72	1	257	1	257	0.0e+00	552	KO:K17763	rsbT co-antagonist protein RsbR		
2710194896	508	100	1	508	1	508	0.0e+00	1140	KO:K03387	NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]	EC:1.8.1.-	
2710194897	187	100	1	187	1	187	0.0e+00	438	KO:K24119	NADH-dependent peroxiredoxin subunit C [EC:1.11.1.26]	EC:1.11.1.26	
2710194902	365	90.41	1	365	1	365	0.0e+00	761	KO:K06296	spore germination protein KB		
2710194903	389	84.06	1	389	1	389	0.0e+00	760	KO:K06297	spore germination protein KC		
2710194904	390	95.86	1	338	1	338	0.0e+00	735	KO:K06295	spore germination protein KA		
