gene_oid	gene_length	feature_type	start_coord	end_coord
2710196621	395	cleavage	21	22
2710196671	180	cleavage	18	19
2710196685	209	cleavage	28	29
2710196723	270	cleavage	24	25
2710196724	190	cleavage	22	23
2710196750	299	cleavage	24	25
2710196756	254	cleavage	21	22
2710196811	298	cleavage	24	25
2710196840	165	cleavage	19	20
2710196853	144	cleavage	20	21
2710196857	458	cleavage	20	21
2710196883	127	cleavage	22	23
2710196900	408	cleavage	21	22
2710196908	125	cleavage	16	17
2710196914	135	cleavage	22	23
2710196915	164	cleavage	27	28
2710196929	346	cleavage	21	22
2710196964	167	cleavage	24	25
2710197026	336	cleavage	24	25
2710197083	337	cleavage	19	20
2710197102	409	cleavage	24	25
2710197103	162	cleavage	21	22
2710197121	261	cleavage	20	21
2710197159	359	cleavage	21	22
2710197205	388	cleavage	24	25
2710197219	386	cleavage	29	30
2710197252	279	cleavage	30	31
2710197345	449	cleavage	24	25
2710197348	104	cleavage	17	18
2710197388	668	cleavage	25	26
2710197391	817	cleavage	31	32
2710197392	1323	cleavage	34	35
2710197399	271	cleavage	18	19
2710197406	411	cleavage	22	23
2710197446	424	cleavage	25	26
2710197470	994	cleavage	30	31
2710197482	278	cleavage	27	28
2710197484	148	cleavage	25	26
2710197507	249	cleavage	23	24
2710197511	112	cleavage	20	21
2710197516	297	cleavage	27	28
2710197534	492	cleavage	22	23
2710197535	349	cleavage	22	23
2710197629	136	cleavage	19	20
2710197635	281	cleavage	31	32
2710197667	175	cleavage	22	23
2710197669	245	cleavage	20	21
2710197675	85	cleavage	19	20
2710197691	234	cleavage	33	34
2710197745	312	cleavage	27	28
2710197752	91	cleavage	23	24
2710197765	157	cleavage	24	25
2710197790	250	cleavage	23	24
2710197819	406	cleavage	23	24
2710197849	461	cleavage	21	22
2710197858	208	cleavage	22	23
2710197911	541	cleavage	18	19
2710197920	112	cleavage	22	23
2710197924	108	cleavage	21	22
2710197959	99	cleavage	26	27
2710198005	150	cleavage	23	24
2710198033	100	cleavage	22	23
2710198048	328	cleavage	23	24
2710198097	308	cleavage	20	21
2710198120	806	cleavage	21	22
2710198134	500	cleavage	27	28
2710198184	272	cleavage	24	25
2710198195	114	cleavage	20	21
2710198239	358	cleavage	18	19
2710198274	399	cleavage	29	30
2710198301	256	cleavage	18	19
2710198319	419	cleavage	22	23
2710198323	45	cleavage	24	25
2710198336	834	cleavage	25	26
2710198338	362	cleavage	22	23
2710198346	529	cleavage	20	21
2710198370	198	cleavage	27	28
2710198390	373	cleavage	21	22
2710198453	271	cleavage	19	20
2710198560	537	cleavage	19	20
2710198581	196	cleavage	28	29
2710198639	550	cleavage	20	21
2710198644	397	cleavage	25	26
2710198683	331	cleavage	21	22
2710198699	754	cleavage	23	24
2710198700	266	cleavage	22	23
2710198701	686	cleavage	22	23
2710198705	611	cleavage	29	30
2710198706	683	cleavage	25	26
2710198707	1411	cleavage	22	23
2710198708	437	cleavage	30	31
2710198710	457	cleavage	25	26
2710198711	469	cleavage	25	26
2710198719	1020	cleavage	29	30
2710198724	488	cleavage	24	25
2710198727	196	cleavage	22	23
2710198728	331	cleavage	19	20
2710198764	425	cleavage	19	20
2710198863	1858	cleavage	28	29
2710198874	551	cleavage	26	27
2710198884	322	cleavage	22	23
2710198904	511	cleavage	23	24
2710198907	424	cleavage	19	20
2710198911	375	cleavage	21	22
2710198925	203	cleavage	21	22
2710198928	172	cleavage	19	20
2710198934	225	cleavage	20	21
2710198953	306	cleavage	24	25
2710198960	336	cleavage	21	22
2710198986	451	cleavage	29	30
2710198998	173	cleavage	23	24
2710199044	212	cleavage	19	20
