gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2710194689	165	26	140	8.0e-59	182.7	TIGR03139	7-cyano-7-deazaguanine reductase
2710194699	212	70	212	9.0e-11	27.9	TIGR01076	LPXTG-site transpeptidase (sortase) family protein
2710194702	187	20	179	7.6e-40	122.3	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710194703	334	3	332	0.0e+00	458	TIGR00904	cell shape determining protein, MreB/Mrl family
2710194707	397	4	396	1.7e-119	385.4	TIGR00804	nucleoside transporter
2710194708	608	38	446	1.0e-89	287.4	TIGR00813	transporter, SSS family
2710194714	152	1	133	7.0e-42	128.6	TIGR00738	Rrf2 family protein
2710194722	463	16	443	0.0e+00	477.4	TIGR00835	amino acid carrier protein
2710194725	810	95	219	4.0e-13	35.8	TIGR00229	PAS domain S-box
2710194729	171	3	170	1.9e-61	192.6	TIGR01382	intracellular protease, PfpI family
2710194732	280	12	274	3.6e-64	203.1	TIGR00765	YihY family inner membrane protein
2710194742	476	9	476	0.0e+00	608.6	TIGR00408	prolyl-tRNA synthetase, family I
2710194749	573	6	571	0.0e+00	546.3	TIGR02720	pyruvate oxidase
2710194751	544	3	544	0.0e+00	948.1	TIGR02003	PTS system, IIBC component
2710194751	544	438	528	1.7e-21	63.6	TIGR00826	PTS system, glucose-like IIB component
2710194752	638	106	621	1.3e-87	282.1	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
2710194752	638	65	637	6.7e-123	399.3	TIGR01511	copper-(or silver)-translocating P-type ATPase
2710194752	638	84	437	3.0e-102	330.8	TIGR01512	heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase
2710194752	638	84	636	0.0e+00	611.6	TIGR01525	heavy metal translocating P-type ATPase
2710194756	376	18	374	1.9e-123	398.9	TIGR00846	calcium/proton exchanger
2710194756	376	31	374	0.0e+00	488.6	TIGR00378	calcium/proton exchanger (cax)
2710194761	375	8	371	0.0e+00	630.3	TIGR04478	radical SAM/CxCxxxxC motif protein YfkAB
2710194764	518	337	500	2.8e-54	170.7	TIGR00723	hydro-lyases, Fe-S type, tartrate/fumarate subfamily, beta region
2710194764	518	6	286	5.0e-63	199.8	TIGR00722	hydro-lyases, Fe-S type, tartrate/fumarate subfamily, alpha region
2710194766	258	32	255	1.2e-110	354.6	TIGR02884	delta-lactam-biosynthetic de-N-acetylase
2710194768	466	29	458	0.0e+00	564	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2710194772	257	11	250	2.5e-86	274.9	TIGR03716	integral membrane protein, YkoY family
2710194783	230	1	227	4.7e-52	163	TIGR02812	fatty acid metabolism transcriptional regulator FadR
2710194786	499	8	489	0.0e+00	736.5	TIGR01320	malate:quinone-oxidoreductase
2710194792	230	4	229	2.8e-66	209.2	TIGR00659	TIGR00659 family protein
2710194807	235	8	227	3.2e-42	130.4	TIGR02206	conserved hypothetical integral membrane protein TIGR02206
2710194822	204	4	174	1.9e-11	31.7	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2710194836	590	8	585	0.0e+00	498	TIGR02290	oligoendopeptidase, pepF/M3 family
2710194846	312	14	165	1.8e-19	56	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710194850	586	9	582	0.0e+00	537.7	TIGR02290	oligoendopeptidase, pepF/M3 family
2710194862	197	11	192	1.4e-32	98.6	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
2710194887	651	48	555	0.0e+00	655.1	TIGR02891	cytochrome c oxidase, subunit I
2710194888	329	26	228	5.6e-70	221	TIGR02866	cytochrome c oxidase, subunit II
2710194890	257	6	125	1.6e-17	50	TIGR00229	PAS domain S-box
2710194894	226	1	218	6.4e-38	116.7	TIGR00290	MJ0570-related uncharacterized domain
2710194896	508	1	508	0.0e+00	805.2	TIGR03140	alkyl hydroperoxide reductase subunit F
2710194897	187	1	187	1.1e-105	337.4	TIGR03137	peroxiredoxin
2710194902	365	4	364	2.2e-53	167.9	TIGR00912	spore germination protein (amino acid permease)
2710194903	389	5	388	7.0e-66	208.6	TIGR02887	germination protein, Ger(x)C family
2710194908	258	47	257	4.5e-46	142.9	TIGR00163	phosphatidylserine decarboxylase precursor
2710194910	738	25	738	0.0e+00	1225	TIGR00198	catalase/peroxidase HPI
2710194913	405	3	395	4.9e-103	330.9	TIGR02887	germination protein, Ger(x)C family
2710194914	369	4	364	3.6e-79	252.7	TIGR00912	spore germination protein (amino acid permease)
2710194932	585	1	329	0.0e+00	452.8	TIGR02363	dihydroxyacetone kinase, DhaK subunit
2710194932	585	2	581	0.0e+00	451	TIGR02361	dihydroxyacetone kinase, ATP-dependent
2710194932	585	375	582	4.2e-46	144.8	TIGR02365	dihydroxyacetone kinase, phosphoprotein-dependent, L subunit
2710194939	262	32	248	7.9e-78	247	TIGR03716	integral membrane protein, YkoY family
2710194966	326	2	323	8.1e-101	323.6	TIGR04466	cytosylglucuronate decarboxylase
2710194988	182	4	181	4.8e-56	175.2	TIGR00636	ATP:cob(I)alamin adenosyltransferase
2710194995	428	5	428	0.0e+00	565.4	TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
2710195000	321	233	320	1.6e-32	97.8	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2710195001	338	236	322	1.9e-33	100.7	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2710195005	68	10	68	3.6e-17	49	TIGR01442	small, acid-soluble spore protein, gamma-type
2710195008	368	16	294	1.0e-112	362.2	TIGR01084	A/G-specific adenine glycosylase
2710195012	54	16	47	2.9e-26	77.4	TIGR03091	small, acid-soluble spore protein K
2710195018	301	3	296	1.1e-110	355.8	TIGR01777	TIGR01777 family protein
2710195023	876	2	865	0.0e+00	987.4	TIGR02068	cyanophycin synthetase
2710195024	264	6	254	1.3e-78	249.9	TIGR02069	cyanophycinase
2710195027	247	3	239	4.3e-35	109.5	TIGR01487	phosphoglycolate phosphatase, TA0175-type
2710195027	247	5	212	1.0e-29	92.2	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
2710195027	247	5	239	9.0e-57	180.5	TIGR00099	Cof subfamily of IIB subfamily of haloacid dehalogenase superfamily
2710195027	247	6	247	1.4e-35	110.9	TIGR01482	sucrose-phosphate phosphatase subfamily
2710195047	242	18	191	2.4e-74	235	TIGR03717	integral membrane protein, YjbE family
2710195053	326	1	320	2.7e-84	269.1	TIGR00841	bile acid transporter
2710195054	465	46	455	5.8e-99	317.6	TIGR00387	glycolate oxidase, subunit GlcD
2710195058	204	56	203	2.5e-11	29.7	TIGR01076	LPXTG-site transpeptidase (sortase) family protein
2710195061	581	22	577	0.0e+00	668.3	TIGR01178	adenine deaminase
2710195064	453	5	453	5.0e-65	205.8	TIGR00785	anion transporter
2710195065	504	6	495	2.4e-80	256.4	TIGR02485	precorrin 3B synthase CobZ
2710195073	656	50	90	5.3e-14	38.2	TIGR02276	40-residue YVTN family beta-propeller repeat
2710195082	622	1	621	0.0e+00	457.2	TIGR01507	squalene-hopene cyclase
2710195082	622	8	619	0.0e+00	430.7	TIGR01787	squalene/oxidosqualene cyclases
2710195084	496	4	496	0.0e+00	749	TIGR01317	glutamate synthases, NADH/NADPH, small subunit
2710195088	346	13	318	4.9e-96	307.8	TIGR03167	tRNA 2-selenouridine synthase
2710195094	426	14	422	6.8e-128	414.2	TIGR00359	phosphotransferase system, cellobiose specific, IIC component
2710195094	426	14	422	6.8e-128	414.2	TIGR00410	PTS system, lactose/cellobiose family IIC component
2710195101	470	44	456	0.0e+00	590.8	TIGR00387	glycolate oxidase, subunit GlcD
2710195104	305	2	303	2.5e-66	210	TIGR00745	2-dehydropantoate 2-reductase
2710195107	241	1	161	4.6e-15	41.9	TIGR00231	small GTP-binding protein domain
2710195115	194	1	192	1.2e-102	327.7	TIGR00493	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
2710195123	288	5	253	6.8e-14	38	TIGR00688	rarD protein
2710195126	479	18	455	0.0e+00	684.3	TIGR00273	iron-sulfur cluster-binding protein
2710195128	594	1	554	2.3e-115	372.3	TIGR00795	L-lactate transport
2710195137	472	22	466	0.0e+00	688.2	TIGR01780	succinate-semialdehyde dehydrogenase
2710195139	432	10	413	0.0e+00	426.6	TIGR00796	branched-chain amino acid uptake carrier
2710195141	164	4	164	2.2e-96	306.4	TIGR03645	lactoylglutathione lyase family protein
2710195149	741	308	470	5.3e-42	130.4	TIGR00254	diguanylate cyclase (GGDEF) domain
2710195149	741	68	192	2.6e-15	43.8	TIGR00229	PAS domain S-box
2710195154	472	13	455	0.0e+00	506.3	TIGR00835	amino acid carrier protein
2710195159	439	24	380	0.0e+00	431.2	TIGR03156	GTP-binding protein HflX
2710195160	306	14	137	9.3e-21	60.4	TIGR00229	PAS domain S-box
2710195179	235	65	218	9.9e-53	164.3	TIGR00093	pseudouridine synthase
2710195180	205	2	205	5.8e-20	57.9	TIGR00153	TIGR00153 family protein
2710195189	274	1	271	5.3e-38	116.9	TIGR00577	DNA-formamidopyrimidine glycosylase
2710195200	462	29	453	3.6e-107	344.8	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2710195204	665	359	386	1.3e-06	16.3	TIGR03057	X-X-X-Leu-X-X-Gly heptad repeats
2710195204	665	453	658	5.6e-61	193.4	TIGR03062	YhgE/Pip C-terminal domain
2710195204	665	9	172	7.9e-63	198.6	TIGR03061	YhgE/Pip N-terminal domain
2710195211	428	4	428	0.0e+00	495.1	TIGR01048	diaminopimelate decarboxylase
2710195218	635	9	351	0.0e+00	551	TIGR00851	PTS system, mannitol-specific IIC component
2710195223	607	2	533	0.0e+00	521.5	TIGR01536	asparagine synthase (glutamine-hydrolyzing)
2710195236	138	1	131	4.5e-24	71	TIGR00738	Rrf2 family protein
2710195237	131	2	115	6.1e-35	106.2	TIGR01617	transcriptional regulator, Spx/MgsR family
2710195239	322	12	311	6.0e-110	353.2	TIGR01188	daunorubicin resistance ABC transporter ATP-binding subunit
2710195240	284	1	141	3.3e-32	99.1	TIGR01250	proline-specific peptidase, Bacillus coagulans-type subfamily
2710195240	284	9	148	9.2e-32	97.3	TIGR01249	proline iminopeptidase, Neisseria-type subfamily
2710195249	430	9	426	1.4e-111	359.3	TIGR00442	histidyl-tRNA synthetase
2710195273	472	1	439	4.4e-122	394.2	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
2710195282	492	3	490	1.6e-100	323.1	TIGR00815	high affinity sulphate transporter 1
2710195288	139	6	134	8.2e-77	241.8	TIGR02691	arsenate reductase (thioredoxin)
2710195289	429	3	428	0.0e+00	754.7	TIGR00935	arsenite/antimonite efflux pump membrane protein
2710195312	301	96	300	3.4e-63	199.1	TIGR02867	stage II sporulation protein P
2710195313	179	10	167	6.3e-37	112.8	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710195332	191	23	181	1.2e-36	111.9	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710195374	267	1	265	3.8e-111	356.7	TIGR00282	metallophosphoesterase, MG_246/BB_0505 family
2710195375	519	331	408	9.5e-29	86.4	TIGR00277	HDIG domain
2710195375	519	6	519	0.0e+00	817	TIGR03319	ribonuclease Y
2710195376	345	3	323	0.0e+00	575.1	TIGR02012	protein RecA
2710195377	411	1	165	4.1e-37	115.1	TIGR00177	molybdenum cofactor synthesis domain
2710195377	411	1	411	0.0e+00	502.9	TIGR00200	competence/damage-inducible protein CinA N-terminal domain
2710195377	411	264	410	8.0e-47	146.8	TIGR00199	amidohydrolase, PncC family
2710195378	192	1	191	6.1e-67	211.7	TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
2710195393	556	10	554	0.0e+00	648.5	TIGR00649	beta-CASP ribonuclease, RNase J family
2710195394	290	5	289	6.5e-118	378.7	TIGR00674	4-hydroxy-tetrahydrodipicolinate synthase
2710195395	412	1	403	0.0e+00	451.2	TIGR00656	aspartate kinase, monofunctional class
2710195395	412	50	402	6.8e-94	302.3	TIGR00657	aspartate kinase
2710195396	348	7	344	0.0e+00	526.8	TIGR01296	aspartate-semialdehyde dehydrogenase (peptidoglycan organisms)
2710195397	197	6	192	1.7e-104	333.1	TIGR02852	dipicolinic acid synthetase, B subunit
2710195398	300	4	290	0.0e+00	457.6	TIGR02853	dipicolinic acid synthetase, A subunit
2710195399	77	2	74	2.6e-26	77.9	TIGR02888	sporulation protein, YlmC/YmxH family
2710195401	334	46	313	0.0e+00	426	TIGR02873	probable sporulation protein, polysaccharide deacetylase family
2710195402	707	11	694	0.0e+00	1049.5	TIGR03591	polyribonucleotide nucleotidyltransferase
2710195403	89	4	89	2.0e-45	139.3	TIGR00952	ribosomal protein S15, bacterial/organelle
2710195404	316	20	91	6.7e-12	32.7	TIGR00125	cytidyltransferase-like domain
2710195404	316	21	314	1.4e-101	326.7	TIGR00083	riboflavin kinase/FMN adenylyltransferase
2710195405	301	1	217	1.3e-82	262.6	TIGR00431	tRNA pseudouridine(55) synthase
2710195406	122	1	113	2.1e-45	140.2	TIGR00082	ribosome-binding factor A
2710195408	725	141	725	0.0e+00	928.4	TIGR00487	translation initiation factor IF-2
2710195408	725	226	387	1.1e-43	135.9	TIGR00231	small GTP-binding protein domain
2710195411	377	4	342	0.0e+00	433.2	TIGR01953	transcription termination factor NusA
2710195413	1439	232	1439	0.0e+00	1953.2	TIGR01405	DNA polymerase III, alpha chain, Gram-positive type
2710195413	1439	417	640	1.3e-64	204.7	TIGR00573	exonuclease, DNA polymerase III, epsilon subunit family
2710195414	567	1	562	0.0e+00	792.6	TIGR00409	prolyl-tRNA synthetase, family II
2710195415	418	1	418	1.7e-111	359	TIGR00054	RIP metalloprotease RseP
2710195416	381	2	380	0.0e+00	550.4	TIGR00243	1-deoxy-D-xylulose 5-phosphate reductoisomerase
2710195418	263	29	256	5.9e-89	283.4	TIGR00055	undecaprenyl diphosphate synthase
2710195419	185	10	185	1.8e-78	248.2	TIGR00496	ribosome recycling factor
2710195420	241	6	238	1.8e-107	344.2	TIGR02075	uridylate kinase
2710195421	293	1	293	9.4e-121	388.5	TIGR00116	translation elongation factor Ts
2710195422	235	3	227	1.1e-117	378.2	TIGR01011	ribosomal protein S2, bacterial type
2710195424	252	24	250	9.5e-34	103.5	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2710195424	252	29	251	1.7e-82	263.5	TIGR02479	RNA polymerase sigma factor, FliA/WhiG family
2710195431	386	1	273	3.8e-70	223.1	TIGR03499	flagellar biosynthetic protein FlhF
2710195432	678	3	675	0.0e+00	912.4	TIGR01398	flagellar biosynthesis protein FlhA
2710195433	360	13	356	5.7e-100	321.9	TIGR01404	type III secretion protein, YscU/HrpY family
2710195433	360	13	360	0.0e+00	450.1	TIGR00328	flagellar biosynthetic protein FlhB
2710195434	258	1	253	3.4e-45	141.5	TIGR01401	type III secretion protein SpaR/YscT/HrcT
2710195434	258	8	252	5.3e-76	242.4	TIGR01400	flagellar biosynthetic protein FliR
2710195435	89	1	88	8.6e-38	114.6	TIGR01402	flagellar biosynthetic protein FliQ
2710195436	221	25	221	6.0e-95	302.7	TIGR01103	flagellar biosynthetic protein FliP
2710195437	212	68	137	2.0e-18	52.5	TIGR03500	flagellar biosynthetic protein FliO
2710195439	386	303	379	1.7e-34	104.8	TIGR02480	flagellar motor switch protein FliN
2710195440	332	4	325	2.1e-119	384.4	TIGR01397	flagellar motor switch protein FliM
2710195442	409	3	390	6.0e-92	297	TIGR03506	flagellar hook-basal body protein
2710195442	409	5	388	2.3e-59	188.6	TIGR02490	flagellar basal-body rod protein FlgF
2710195443	129	31	127	1.8e-38	117.4	TIGR02530	flagellar operon protein
2710195447	148	4	144	2.9e-27	81.9	TIGR02473	flagellar export protein FliJ
2710195448	439	1	436	0.0e+00	639.7	TIGR01026	ATPase, FliI/YscN family
2710195448	439	20	435	0.0e+00	662.7	TIGR03497	flagellar protein export ATPase FliI
2710195449	257	1	256	8.5e-60	188.4	TIGR03825	flagellar assembly protein FliH
2710195450	337	1	337	0.0e+00	501.8	TIGR00207	flagellar motor switch protein FliG
2710195451	532	1	532	2.1e-129	418.9	TIGR00206	flagellar basal-body M-ring protein/flagellar hook-basal body protein (fliF)
2710195452	101	6	101	1.0e-32	99	TIGR00205	flagellar hook-basal body complex protein FliE
2710195453	153	4	153	2.5e-53	166.2	TIGR01395	flagellar basal-body rod protein FlgC
2710195454	129	4	126	1.8e-38	117.9	TIGR01396	flagellar basal-body rod protein FlgB
2710195455	259	3	253	1.0e-129	417.1	TIGR02787	GTP-sensing transcriptional pleiotropic repressor CodY
2710195456	470	7	470	0.0e+00	712.8	TIGR00390	ATP-dependent protease HslVU, ATPase subunit
2710195457	180	7	180	8.1e-87	275.4	TIGR03692	ATP-dependent protease HslVU, peptidase subunit
2710195458	299	10	299	3.5e-111	357.2	TIGR02224	tyrosine recombinase XerC
2710195459	432	1	432	0.0e+00	780	TIGR00137	tRNA:m(5)U-54 methyltransferase
2710195460	691	15	605	1.1e-100	324.5	TIGR01057	DNA topoisomerase I, archaeal
2710195460	691	5	612	0.0e+00	883	TIGR01051	DNA topoisomerase I, bacterial
2710195461	291	70	289	1.7e-80	255.4	TIGR00732	DNA protecting protein DprA
2710195462	300	3	288	0.0e+00	489.6	TIGR01019	succinyl-CoA synthetase, alpha subunit
2710195463	386	1	386	0.0e+00	552.5	TIGR01016	succinyl-CoA synthetase, beta subunit
2710195464	93	6	89	2.0e-34	103.9	TIGR00789	flhB C-terminus-related protein
2710195467	288	119	190	4.4e-13	36.4	TIGR00231	small GTP-binding protein domain
2710195467	288	3	278	5.0e-124	400.1	TIGR03596	ribosome biogenesis GTP-binding protein YlqF
2710195468	179	11	173	1.3e-56	177.1	TIGR02227	signal peptidase I, bacterial type
2710195469	114	2	114	1.9e-55	172.1	TIGR01024	ribosomal protein L19, bacterial type
2710195470	245	2	236	4.4e-105	336.1	TIGR00088	tRNA (guanine-N1)-methyltransferase
2710195471	177	10	175	2.6e-57	178.9	TIGR02273	16S rRNA processing protein RimM
2710195474	90	3	80	2.5e-39	119.4	TIGR00002	ribosomal protein S16
2710195475	447	3	429	0.0e+00	634.2	TIGR00959	signal recognition particle protein
2710195477	328	46	320	7.1e-123	395.3	TIGR00064	signal recognition particle-docking protein FtsY
2710195478	1188	2	1179	0.0e+00	1216.9	TIGR02168	chromosome segregation protein SMC, common bacterial type
2710195479	248	22	241	4.2e-84	267.5	TIGR02191	ribonuclease III, bacterial
2710195480	77	1	77	2.0e-38	116.4	TIGR00517	acyl carrier protein
2710195481	247	8	246	4.2e-114	366.2	TIGR01830	3-oxoacyl-(acyl-carrier-protein) reductase
2710195482	314	2	292	2.6e-120	387.3	TIGR00128	malonyl CoA-acyl carrier protein transacylase
2710195483	329	1	329	0.0e+00	441.3	TIGR00182	fatty acid/phospholipid synthesis protein PlsX
2710195485	683	27	649	0.0e+00	826.8	TIGR00643	ATP-dependent DNA helicase RecG
2710195486	297	1	297	0.0e+00	484.7	TIGR00718	L-serine dehydratase, iron-sulfur-dependent, alpha subunit
2710195487	220	1	206	3.6e-96	306.9	TIGR00719	L-serine dehydratase, iron-sulfur-dependent, beta subunit
2710195488	554	11	554	0.0e+00	718.7	TIGR03599	DAK2 domain fusion protein YloV
2710195490	62	1	56	1.9e-25	75.4	TIGR00009	ribosomal protein L28
2710195491	219	3	211	4.3e-67	211.6	TIGR01378	thiamine pyrophosphokinase
2710195492	216	2	212	4.8e-99	316	TIGR01163	ribulose-phosphate 3-epimerase
2710195493	293	38	284	6.9e-95	303.3	TIGR00157	ribosome small subunit-dependent GTPase A
2710195496	445	9	445	0.0e+00	482.9	TIGR00563	16S rRNA (cytosine(967)-C(5))-methyltransferase
2710195497	316	2	308	6.6e-111	356.3	TIGR00460	methionyl-tRNA formyltransferase
2710195498	160	3	160	1.6e-54	169.9	TIGR00079	peptide deformylase
2710195499	807	294	804	0.0e+00	722.1	TIGR00595	primosomal protein N'
2710195500	414	7	402	0.0e+00	498.3	TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
2710195501	73	1	60	1.3e-24	72.3	TIGR00690	DNA-directed RNA polymerase, omega subunit
