gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2710194491	191	4	185	SUPERFAMILY	SSF53328	IPR002376	Formyl transferase, N-terminal	GO:0009058|GO:0016742
2710194492	511	134	446	SMART	SM00798	IPR002695	AICARFT/IMPCHase bienzyme	GO:0003937|GO:0004643|GO:0006164
2710194492	511	2	193	SUPERFAMILY	SSF52335	IPR011607	Methylglyoxal synthase-like domain	
2710194492	511	14	129	SMART	SM00851	IPR011607	Methylglyoxal synthase-like domain	
2710194492	511	207	511	SUPERFAMILY	SSF53927	IPR016193	Cytidine deaminase-like	GO:0003824
2710194493	424	324	419	SUPERFAMILY	SSF51246	IPR011054	Rudiment single hybrid motif	
2710194493	424	107	313	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2710194493	424	1	101	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
2710194493	424	287	294	ProSitePatterns	PS00184	IPR020559	Phosphoribosylglycinamide synthetase, conserved site	GO:0004637|GO:0009113
2710194493	424	102	322	SUPERFAMILY	SSF56059			
2710194495	579	17	81	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2710194495	579	330	367	SUPERFAMILY	SSF51338	IPR011059	Metal-dependent hydrolase, composite domain	GO:0016810
2710194495	579	81	326	SUPERFAMILY	SSF51556			
2710194496	345	1	18	ProSiteProfiles	PS51257			
2710194496	345	50	336	SUPERFAMILY	SSF159774			
2710194497	99	3	95	SUPERFAMILY	SSF48295	IPR010921	Trp repressor/replication initiator	GO:0043565
2710194498	228	5	223	SUPERFAMILY	SSF51395			
2710194499	741	10	289	ProSiteProfiles	PS51198	IPR014016	UvrD-like Helicase, ATP-binding domain	GO:0005524
2710194499	741	290	567	ProSiteProfiles	PS51217	IPR014017	DNA helicase, UvrD-like, C-terminal	GO:0005524|GO:0016787
2710194499	741	1	646	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194500	668	590	668	ProSiteProfiles	PS50172	IPR001357	BRCT domain	
2710194500	668	592	668	SMART	SM00292	IPR001357	BRCT domain	
2710194500	668	593	666	SUPERFAMILY	SSF52113	IPR001357	BRCT domain	
2710194500	668	441	460	SMART	SM00278	IPR003583	Helix-hairpin-helix DNA-binding motif, class 1	GO:0003677|GO:0006281
2710194500	668	475	494	SMART	SM00278	IPR003583	Helix-hairpin-helix DNA-binding motif, class 1	GO:0003677|GO:0006281
2710194500	668	539	558	SMART	SM00278	IPR003583	Helix-hairpin-helix DNA-binding motif, class 1	GO:0003677|GO:0006281
2710194500	668	400	580	SUPERFAMILY	SSF47781	IPR010994	RuvA domain 2-like	
2710194500	668	313	396	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2710194500	668	5	443	SMART	SM00532	IPR013840	NAD-dependent DNA ligase, N-terminal	GO:0003911
2710194500	668	115	144	ProSitePatterns	PS01055	IPR018239	NAD-dependent DNA ligase, active site	GO:0003911|GO:0006260|GO:0006281
2710194500	668	327	342	ProSitePatterns	PS01056	IPR018239	NAD-dependent DNA ligase, active site	GO:0003911|GO:0006260|GO:0006281
2710194500	668	2	312	SUPERFAMILY	SSF56091			
2710194501	383	1	18	ProSiteProfiles	PS51257			
2710194503	529	6	528	SUPERFAMILY	SSF51645	IPR011076	Malate synthase-like	GO:0003824
2710194503	529	262	277	ProSitePatterns	PS00510	IPR019830	Malate synthase, conserved site	GO:0004474|GO:0006097
2710194504	426	7	426	SUPERFAMILY	SSF51621	IPR015813	Pyruvate/Phosphoenolpyruvate kinase-like domain	GO:0003824
2710194504	426	187	192	ProSitePatterns	PS00161	IPR018523	Isocitrate lyase/phosphorylmutase, conserved site	GO:0003824|GO:0008152
2710194505	344	2	140	SMART	SM00859	IPR000534	Semialdehyde dehydrogenase, NAD-binding	GO:0016620|GO:0051287|GO:0055114
2710194505	344	2	174	SUPERFAMILY	SSF51735			
2710194505	344	148	312	SUPERFAMILY	SSF55347			
2710194506	409	20	405	SUPERFAMILY	SSF56266	IPR016117	ArgJ-like domain	
2710194507	269	12	262	SUPERFAMILY	SSF53633	IPR001048	Aspartate/glutamate/uridylate kinase	
2710194508	386	204	241	ProSitePatterns	PS00600	IPR005814	Aminotransferase class-III	GO:0008483|GO:0030170
2710194508	386	3	378	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2710194509	354	1	132	SMART	SM01097	IPR002474	Carbamoyl-phosphate synthase, small subunit N-terminal domain	
2710194509	354	1	136	SUPERFAMILY	SSF52021	IPR002474	Carbamoyl-phosphate synthase, small subunit N-terminal domain	
2710194509	354	164	350	ProSiteProfiles	PS51273	IPR017926	Glutamine amidotransferase	
2710194509	354	151	345	SUPERFAMILY	SSF52317			
2710194510	1022	296	303	ProSitePatterns	PS00867	IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	GO:0005524
2710194510	1022	828	835	ProSitePatterns	PS00867	IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	GO:0005524
2710194510	1022	394	544	SUPERFAMILY	SSF48108	IPR005480	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	
2710194510	1022	419	539	SMART	SM01096	IPR005480	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	
2710194510	1022	133	327	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2710194510	1022	671	859	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2710194510	1022	1	127	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
2710194510	1022	551	668	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
2710194510	1022	128	399	SUPERFAMILY	SSF56059			
2710194510	1022	666	921	SUPERFAMILY	SSF56059			
2710194511	317	13	314	SUPERFAMILY	SSF53671	IPR006130	Aspartate/ornithine carbamoyltransferase	GO:0006520|GO:0016597|GO:0016743
2710194511	317	59	66	ProSitePatterns	PS00097	IPR006130	Aspartate/ornithine carbamoyltransferase	GO:0006520|GO:0016597|GO:0016743
2710194512	149	7	127	SUPERFAMILY	SSF160515			
2710194516	96	3	94	SUPERFAMILY	SSF141000			
2710194517	486	152	183	ProSitePatterns	PS00571	IPR020556	Amidase, conserved site	
2710194517	486	1	484	SUPERFAMILY	SSF75304	IPR023631	Amidase signature domain	
2710194518	476	295	401	SUPERFAMILY	SSF89095	IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-related	GO:0016884
2710194518	476	142	156	ProSitePatterns	PS01234	IPR017958	Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site	GO:0016884
2710194518	476	326	473	SMART	SM00845	IPR018027	Asn/Gln amidotransferase	GO:0016884
2710194518	476	4	294	SUPERFAMILY	SSF55931			
2710194519	556	244	555	SUPERFAMILY	SSF55486			
2710194523	188	52	123	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2710194524	126	18	75	SUPERFAMILY	SSF47413	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677
2710194525	258	14	213	SUPERFAMILY	SSF53335			
2710194526	265	4	247	SUPERFAMILY	SSF54001			
2710194527	304	1	131	ProSiteProfiles	PS50146	IPR001206	Diacylglycerol kinase, catalytic domain	GO:0004143|GO:0007205
2710194527	304	3	131	SMART	SM00046	IPR001206	Diacylglycerol kinase, catalytic domain	GO:0004143|GO:0007205
2710194527	304	1	295	SUPERFAMILY	SSF111331	IPR016064	ATP-NAD kinase-like domain	GO:0003951|GO:0008152
2710194529	101	1	89	SUPERFAMILY	SSF54909	IPR011008	Dimeric alpha-beta barrel	
2710194531	458	6	65	ProSiteProfiles	PS50926	IPR002792	TRAM domain	
2710194531	458	387	418	ProSitePatterns	PS01230	IPR010280	(Uracil-5)-methyltransferase family	GO:0006396|GO:0008173
2710194531	458	6	64	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2710194531	458	73	454	SUPERFAMILY	SSF53335			
2710194535	334	195	309	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
2710194535	334	23	320	SMART	SM00797	IPR003778	Allophanate hydrolase subunit 2	
2710194536	239	102	232	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
2710194536	239	3	216	SMART	SM00796	IPR003833	Allophanate hydrolase subunit 1	
2710194536	239	5	106	SUPERFAMILY	SSF160467			
2710194537	396	6	390	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2710194537	396	11	388	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2710194538	914	113	146	ProSiteProfiles	PS50293	IPR013026	Tetratricopeptide repeat-containing domain	GO:0005515
2710194538	914	113	146	ProSiteProfiles	PS50005	IPR019734	Tetratricopeptide repeat	GO:0005515
2710194538	914	378	566	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194538	914	44	170	SUPERFAMILY	SSF48452			
2710194539	287	165	270	SUPERFAMILY	SSF52091	IPR002645	STAS domain	
2710194539	287	166	277	ProSiteProfiles	PS50801	IPR002645	STAS domain	
2710194540	177	104	170	SUPERFAMILY	SSF88659	IPR013324	RNA polymerase sigma factor, region 3/4	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2710194540	177	13	97	SUPERFAMILY	SSF88946	IPR013325	RNA polymerase sigma factor, region 2	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
2710194542	306	8	233	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194542	306	32	209	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194542	306	4	223	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194543	131	10	78	ProSiteProfiles	PS50949	IPR000524	Transcription regulator HTH, GntR	GO:0003700|GO:0006355
2710194543	131	16	75	SMART	SM00345	IPR000524	Transcription regulator HTH, GntR	GO:0003700|GO:0006355
2710194543	131	5	79	SUPERFAMILY	SSF46785			
2710194544	261	8	238	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194544	261	32	214	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194544	261	139	153	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194544	261	6	229	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194547	180	44	176	SUPERFAMILY	SSF53254			
2710194548	108	1	104	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
2710194548	108	3	105	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2710194555	575	332	565	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194555	575	358	542	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194555	575	3	314	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2710194555	575	20	297	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2710194555	575	470	484	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194555	575	327	567	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194556	593	353	587	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194556	593	378	564	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194556	593	19	339	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2710194556	593	38	319	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
2710194556	593	490	504	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194556	593	343	588	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194558	140	4	132	SUPERFAMILY	SSF50475	IPR012349	FMN-binding split barrel	GO:0010181|GO:0016491|GO:0055114
2710194559	214	10	210	SUPERFAMILY	SSF52141	IPR005122	Uracil-DNA glycosylase-like	
2710194559	214	24	203	SMART	SM00986	IPR005122	Uracil-DNA glycosylase-like	
2710194559	214	24	203	SMART	SM00987			
2710194563	386	244	385	SUPERFAMILY	SSF47203	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	GO:0016627|GO:0055114
2710194563	386	6	228	SUPERFAMILY	SSF56645	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain	GO:0008152|GO:0016627|GO:0055114
2710194566	310	51	307	SUPERFAMILY	SSF51695	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain	GO:0006629|GO:0008081
2710194567	349	249	348	SUPERFAMILY	SSF47917	IPR000793	ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal	GO:0015991|GO:0016820|GO:0033178
2710194567	349	231	240	ProSitePatterns	PS00152	IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site	GO:0005524
2710194567	349	72	243	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194568	436	258	414	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2710194568	436	310	416	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2710194568	436	205	269	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2710194568	436	212	416	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2710194568	436	201	269	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
2710194570	756	582	753	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2710194570	756	601	738	SMART	SM00491	IPR006555	ATP-dependent helicase, C-terminal	GO:0003676|GO:0005524|GO:0006139|GO:0008026|GO:0016818
2710194570	756	180	436	ProSiteProfiles	PS51193	IPR014013	Helicase, superfamily 1/2, ATP-binding domain, DinG/Rad3-type	GO:0016817
2710194570	756	185	288	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194570	756	342	400	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194570	756	573	725	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194571	145	3	145	ProSiteProfiles	PS50905	IPR009040	Ferritin- like diiron domain	
2710194571	145	8	141	SUPERFAMILY	SSF47240	IPR009078	Ferritin-like superfamily	
2710194574	320	23	293	SUPERFAMILY	SSF52743	IPR000209	Peptidase S8/S53 domain	GO:0004252|GO:0006508
2710194574	320	87	97	ProSitePatterns	PS00137	IPR022398	Peptidase S8, subtilisin, His-active site	
2710194574	320	46	57	ProSitePatterns	PS00136	IPR023827	Peptidase S8, subtilisin,  Asp-active site	
2710194574	320	244	254	ProSitePatterns	PS00138	IPR023828	Peptidase S8, subtilisin, Ser-active site	
2710194575	173	32	167	SUPERFAMILY	SSF49329	IPR001424	Superoxide dismutase, copper/zinc binding domain	GO:0006801|GO:0046872|GO:0055114
2710194575	173	156	167	ProSitePatterns	PS00332	IPR018152	Superoxide dismutase, copper/zinc, binding site	GO:0004784|GO:0055114
2710194576	447	3	447	ProSiteProfiles	PS50267	IPR000175	Sodium:neurotransmitter symporter	GO:0005328|GO:0006836|GO:0016021
2710194576	447	28	42	ProSitePatterns	PS00610	IPR000175	Sodium:neurotransmitter symporter	GO:0005328|GO:0006836|GO:0016021
2710194576	447	4	443	SUPERFAMILY	SSF161070			
2710194577	431	62	281	SUPERFAMILY	SSF51905			
2710194577	431	282	371	SUPERFAMILY	SSF54373			
2710194577	431	372	426	SUPERFAMILY	SSF51905			
2710194578	518	4	259	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194578	518	324	518	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194578	518	28	236	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194578	518	349	518	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194578	518	163	177	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194578	518	441	455	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194578	518	4	245	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194578	518	307	509	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194579	227	5	72	ProSiteProfiles	PS50949	IPR000524	Transcription regulator HTH, GntR	GO:0003700|GO:0006355
2710194579	227	11	69	SMART	SM00345	IPR000524	Transcription regulator HTH, GntR	GO:0003700|GO:0006355
2710194579	227	75	211	SUPERFAMILY	SSF48008	IPR008920	Transcription regulator FadR/GntR, C-terminal	
2710194579	227	79	206	SMART	SM00895	IPR011711	GntR, C-terminal	
2710194579	227	5	73	SUPERFAMILY	SSF46785			
2710194581	151	1	143	ProSiteProfiles	PS50995	IPR000835	MarR-type HTH domain	GO:0003700|GO:0005622|GO:0006355
2710194581	151	31	131	SMART	SM00347	IPR000835	MarR-type HTH domain	GO:0003700|GO:0005622|GO:0006355
2710194581	151	11	147	SUPERFAMILY	SSF46785			
2710194582	532	65	81	ProSitePatterns	PS00216	IPR005829	Sugar transporter, conserved site	GO:0005215|GO:0006810|GO:0016020|GO:0055085
2710194582	532	7	190	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2710194582	532	249	420	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2710194582	532	481	519	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2710194582	532	12	462	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2710194583	441	19	385	SUPERFAMILY	SSF56801			
2710194584	322	39	289	SUPERFAMILY	SSF47240	IPR009078	Ferritin-like superfamily	
2710194586	272	14	265	SUPERFAMILY	SSF47240	IPR009078	Ferritin-like superfamily	
2710194587	159	3	95	SUPERFAMILY	SSF117916			
2710194588	102	1	100	SUPERFAMILY	SSF54909	IPR011008	Dimeric alpha-beta barrel	
2710194589	259	100	120	ProSitePatterns	PS00166	IPR018376	Enoyl-CoA hydratase/isomerase, conserved site	GO:0003824|GO:0008152
2710194589	259	3	258	SUPERFAMILY	SSF52096			
2710194590	257	98	118	ProSitePatterns	PS00166	IPR018376	Enoyl-CoA hydratase/isomerase, conserved site	GO:0003824|GO:0008152
2710194590	257	1	256	SUPERFAMILY	SSF52096			
2710194591	505	263	270	ProSitePatterns	PS00687	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2710194591	505	12	495	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2710194592	291	185	287	SUPERFAMILY	SSF48179	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	GO:0055114
2710194592	291	2	185	SUPERFAMILY	SSF51735			
2710194593	401	3	276	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2710194593	401	277	398	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2710194593	401	380	393	ProSitePatterns	PS00099	IPR020610	Thiolase, active site	GO:0008152|GO:0016747
2710194593	401	345	361	ProSitePatterns	PS00737	IPR020613	Thiolase, conserved site	GO:0008152|GO:0016747
2710194593	401	86	104	ProSitePatterns	PS00098	IPR020615	Thiolase, acyl-enzyme intermediate active site	GO:0008152|GO:0016747
2710194595	291	14	85	SUPERFAMILY	SSF46785			
2710194596	318	3	307	SUPERFAMILY	SSF51412			
2710194597	335	40	209	SUPERFAMILY	SSF53822	IPR028082	Periplasmic binding protein-like I	
2710194599	266	4	251	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2710194599	266	33	236	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2710194599	266	151	165	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2710194599	266	2	236	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2710194600	131	4	129	SUPERFAMILY	SSF54637			
2710194601	389	93	106	ProSitePatterns	PS00074	IPR006095	Glutamate/phenylalanine/leucine/valine dehydrogenase	GO:0006520|GO:0016491|GO:0055114
2710194601	389	166	375	SMART	SM00839	IPR006096	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	GO:0006520|GO:0016491|GO:0055114
2710194601	389	28	163	SUPERFAMILY	SSF53223			
2710194601	389	160	370	SUPERFAMILY	SSF51735			
2710194602	354	7	349	SUPERFAMILY	SSF52518			
2710194603	331	10	185	SMART	SM00861	IPR005475	Transketolase-like, pyrimidine-binding domain	
2710194603	331	195	329	SUPERFAMILY	SSF52922	IPR009014	Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II	GO:0003824|GO:0008152
2710194603	331	6	210	SUPERFAMILY	SSF52518			
2710194604	392	1	74	ProSiteProfiles	PS50968	IPR000089	Biotin/lipoyl attachment	
2710194604	392	94	137	SUPERFAMILY	SSF47005	IPR004167	E3 binding	GO:0008152|GO:0016746
2710194604	392	2	82	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
2710194604	392	154	389	SUPERFAMILY	SSF52777			
2710194605	475	44	54	ProSitePatterns	PS00076	IPR012999	Pyridine nucleotide-disulphide oxidoreductase, class I, active site	GO:0016668|GO:0055114
2710194605	475	343	468	SUPERFAMILY	SSF55424	IPR016156	FAD/NAD-linked reductase, dimerisation domain	GO:0016491|GO:0050660|GO:0055114
2710194605	475	7	337	SUPERFAMILY	SSF51905			
2710194606	371	14	358	SUPERFAMILY	SSF54593			
2710194607	369	26	363	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2710194608	203	19	175	SMART	SM00903	IPR002563	Flavin reductase-like, FMN-binding	GO:0010181|GO:0016491|GO:0042602|GO:0055114
2710194608	203	2	190	SUPERFAMILY	SSF50475	IPR012349	FMN-binding split barrel	GO:0010181|GO:0016491|GO:0055114
2710194609	321	78	304	SUPERFAMILY	SSF56529	IPR011234	Fumarylacetoacetase, C-terminal-related	GO:0003824|GO:0008152
2710194610	381	6	380	SUPERFAMILY	SSF51182	IPR011051	RmlC-like cupin domain	
2710194611	299	4	288	SUPERFAMILY	SSF56752	IPR001544	Aminotransferase, class IV	GO:0003824|GO:0008152
2710194611	299	185	214	ProSitePatterns	PS00770	IPR018300	Aminotransferase, class IV, conserved site	GO:0003824|GO:0008152
2710194612	555	373	553	SUPERFAMILY	SSF52016	IPR015928	Aconitase/3-isopropylmalate dehydratase, swivel	GO:0008152
2710194612	555	119	129	ProSitePatterns	PS00886	IPR020558	Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site	GO:0003824|GO:0008152
2710194612	555	461	472	ProSitePatterns	PS00887	IPR020558	Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site	GO:0003824|GO:0008152
2710194612	555	2	372	SUPERFAMILY	SSF143975			
2710194613	573	436	455	ProSitePatterns	PS00187	IPR000399	TPP-binding enzyme, conserved site	GO:0000287|GO:0030976
2710194613	573	13	197	SUPERFAMILY	SSF52518			
2710194613	573	202	367	SUPERFAMILY	SSF52467			
2710194613	573	377	571	SUPERFAMILY	SSF52518			
2710194614	174	5	80	ProSiteProfiles	PS51671	IPR002912	ACT domain	GO:0008152|GO:0016597
2710194614	174	3	78	SUPERFAMILY	SSF55021			
2710194614	174	81	160	SUPERFAMILY	SSF55021			
2710194615	343	183	329	SUPERFAMILY	SSF48179	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	GO:0055114
2710194615	343	3	182	SUPERFAMILY	SSF51735			
2710194616	516	4	266	ProSiteProfiles	PS50991	IPR000891	Pyruvate carboxyltransferase	GO:0003824
2710194616	516	11	27	ProSitePatterns	PS00815	IPR002034	Alpha-isopropylmalate/homocitrate synthase, conserved site	GO:0019752|GO:0046912
